project_id,repo_url,application_url,n_delivery_files,planned_fte,planned_duration_months,planned_cost_usd,planned_pm,team_size,sum_milestone_duration_months,n_milestone_fte_mentions,documented_pm_explicit,effort_phrases_raw,status,note
acala-project-bodhi,,,2,,,,,,,,,,NO_REPO,
acala_xtokens,,,2,,,,,,,,,,NO_REPO,
admeta,https://github.com/AdMetaNetwork/admeta,github.com/w3f/Grants-Program/blob/master/applications/AdMeta.md,1,2,1,12000,2.00,,7.0,1,,1 month; 6 month,OK,
Afloat,https://github.com/hashed-io/afloat-client-api,github.com/w3f/Grants-Program/blob/master/applications/Afloat.md,4,2,,46200,,5,5.98,4,,13 week; 5 week; 4 week; 2 week; 2 week,OK,
agridot,https://github.com/kacena123/AgriDot,github.com/w3f/Grants-Program/blob/master/applications/AgriDot.md,1,1,4,10000,4.00,1,8.0,1,,4 month; 4 month,OK,
Aisland-DocSig,https://github.com/aisland-dao/docsig,github.com/w3f/Grants-Program/blob/master/applications/Aisland-DocSig.md,2,1.5,2,9000,3.00,2,4.0,2,,2 month; 1 month; 1 month,OK,
ajuna,https://github.com/ajuna-network/Ajuna.SDK,github.com/w3f/Grants-Program/blob/master/applications/ajuna_network_follow_up.md,4,1,4,25,4.00,6,8.0,4,,4 month; 1 month; 1 month; 1 month; 1 month,OK,
AlgoCash,https://github.com/ReserveLabs/AlgoCash,github.com/w3f/Grants-Program/blob/master/applications/AlgoCash.md,1,1.5,,5000,,3,2.99,1,,24 hour; 15 day; 24 hour; 6 week; 7 week,OK,
anagolay-project-idiyanale-multi-token-community-contributions-for-verified-creators,https://github.com/anagolay/anagolay-chain,github.com/w3f/Grants-Program/blob/master/applications/anagolay-project-idiyanale-phase-1.md,2,2,,27500,,2,1.0,2,,2 month; 5 month; 1 month; 1 month; 3.5 month,OK,
anagolay-project-idiyanale-phase,https://github.com/anagolay/w3f-grant-support-repo,github.com/w3f/Grants-Program/blob/master/applications/anagolay-project-idiyanale-phase-1.md,2,2,,27500,,2,1.0,2,,2 month; 5 month; 1 month; 1 month; 3.5 month,OK,
anchor,https://github.com/ff13dfly/Anchor,github.com/w3f/Grants-Program/blob/master/applications/Anchor.md,1,1,1,6000,1.00,1,2.0,1,,2 month; 1 month; 1 month,OK,
apron-network,https://github.com/Apron-Network/apron-node,github.com/w3f/Grants-Program/blob/master/applications/Apron_Network.md,1,4,3,0,12.00,2,6.0,0,,3 month; 3 month,OK,
ares_protocol,https://github.com/aresprotocols/ares-module,github.com/w3f/Grants-Program/blob/master/applications/ares_protocol.md,1,1.5,,0,,6,1.38,1,,3 week; 3 week,OK,
ArtZero_InkWhale,https://github.com/ArtZero-io/Contracts,github.com/w3f/Grants-Program/blob/master/applications/ArtZero_InkWhale.md,2,5,4,30000,20.00,2,7.68,0,,4 month; 8 week; 8 week,OK,
assemblyscript-scale-codec,https://github.com/LimeChain/as-scale-codec,github.com/w3f/Grants-Program/blob/master/applications/Subsembly-GRANDPA.md,1,1.5,,45540,,3,,3,,,OK,
asylum,,,3,,,,,,,,,,NO_REPO,
Awesome-Polka,https://github.com/tolgayayci/awesome-polka,github.com/w3f/Grants-Program/blob/master/applications/Awesome-Polka.md,1,1,,10000,,1,1.0,1,,1 month; 1 month,OK,
BandersnatchVRF,https://github.com/Esscrypt/bandersnatch-vrf,github.com/w3f/Grants-Program/blob/master/applications/BandersnatchVRF.md,2,1,,20000,,1,,2,4.737,30 person-day; 30 person-day; 30 person-day,OK,
bit_country,https://github.com/bit-country/Bit-Country-Blockchain,github.com/w3f/Grants-Program/blob/master/applications/bit_country.md,2,5,1,,5.00,8,1.92,1,,1 month; 4 week,OK,
blackprint_js,https://github.com/Blackprint/Blackprint,github.com/w3f/Grants-Program/blob/master/applications/blackprint-js.md,3,1,,9200,,1,,3,,6 month; 3 week; 3 week; 4 month,OK,
bright_tresury,https://github.com/bright/bright-tresury,github.com/w3f/Grants-Program/blob/master/applications/bright_treasury.md,3,,,,,5,,0,,1 month; 3 month; 1 month; 1 month; 1 month,OK,
calamar,https://github.com/topmonks/calamar,github.com/w3f/Grants-Program/blob/master/applications/Calamar.md,3,1,,27500,,4,6.21,3,,11 week; 4 week; 4 week; 8 week,OK,
candle_auction_ink,https://github.com/agryaznov/candle-auction-ink,github.com/w3f/Grants-Program/blob/master/docs/RFPs/candle-auction.md,3,1,1,,1.00,,1.92,0,,1 month; 3 week; 1 week,OK,
canyon_network_phrase,https://github.com/canyon-network/canyon,github.com/w3f/Grants-Program/blob/master/applications/canyon_network.md,1,1,1.5,15000,1.50,1,3.0,1,,1.5 month; 1.5 month,OK,
centrifuge-gsrpc-v2,https://github.com/centrifuge/go-substrate-rpc-client,github.com/w3f/Grants-Program/blob/master/applications/scale-codec-comparator.md,2,,3.5,12500,,1,7.96,3,,3.5 month; 2 month; 2 month; 2 week,OK,
Cere_Turnkey_Private_Blockchain_Network,https://github.com/Cerebellum-Network/private-standalone-network-node,github.com/w3f/Grants-Program/blob/master/applications/Cere_Turnkey_Private_Blockchain_Network.md,2,,,1,,5,4.14,0,,9 week; 5 week; 4 week,OK,
ces_data_store,https://github.com/CESSProject/data-store-pallet,github.com/w3f/Grants-Program/blob/master/applications/ces_data_store.md,3,2,3,9000,6.00,3,6.0,3,,1 month; 3 month; 1 month; 1 month; 1 month,OK,
CESS,https://github.com/Cumulus2021/cess,github.com/w3f/Grants-Program/blob/master/applications/CESS.md,3,2,4,8000,8.00,2,8.0,3,,4 month; 2 month; 1 month; 1 month,OK,
chainviz,https://github.com/helikon-labs/chainviz,github.com/w3f/Grants-Program/blob/master/applications/chainviz.md,1,0.2,8,22000,1.60,6,16.0,1,,8 month; 8 month,OK,
choko-wallet,https://github.com/choko-wallet/wallet-app,github.com/w3f/Grants-Program/blob/master/applications/choko_wallet.md,1,5,3,36000,15.00,3,4.5,1,,3 month; 1.5 month,OK,
CILA-omnichain-infrastructure,https://github.com/Collective-Intelligence-Labs/cila-substrate,github.com/w3f/Grants-Program/blob/master/applications/CILA-omnichain-infrastructure.md,1,2,3,30000,6.00,5,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
citadel,,,1,,,,,,,,,,NO_REPO,
