project_id,verdict,reason,primary_repo,commit,delivered_date,n_delivery_files,own_org_repos,shared_repos,planned_pm
acala-project-bodhi,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2021-05-06,2,,w3f/General-Grants-Program;w3f/Open-Grants-Program;AcalaNetwork/bodhi.js;AcalaNetwork/Acala;AcalaNetwork/evm-playground;AcalaNetwork/evm-examples,6.00
acala_xtokens,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2021-04-21,2,,w3f/General-Grants-Program;w3f/Open-Grants-Program;open-web3-stack/open-runtime-module-library,3.00
admeta,INCLUDED,single separable primary repo + dated delivery,https://github.com/AdMetaNetwork/admeta,d133bce5adaa41dc2acffa8f10b63928d22751b4,2022-12-22,1,AdMetaNetwork/admeta;AdMetaNetwork/admeta-webapp,,2.00
Afloat,INCLUDED,single separable primary repo + dated delivery,https://github.com/hashed-io/afloat-client-api,,2023-02-27,4,hashed-io/hashed-substrate;hashed-io/hashed-marketplaces-ui;hashed-io/hashed-private-server;hashed-io/hashed-private-client-api;hashed-io/afloat-client-api;hashed-io/hashed-confidential-docs-client-api,,
agridot,INCLUDED,single separable primary repo + dated delivery,https://github.com/kacena123/AgriDot,c54553b96181ed2a46c53c8c3073c5fe1c4c257a,2025-01-15,1,kacena123/AgriDot;kacena123/agridot-backend;kacena123/agridot-docs,,4.00
Aisland-DocSig,INCLUDED,single separable primary repo + dated delivery,https://github.com/aisland-dao/docsig,,2023-10-15,2,aisland-dao/docsig;aisland-dao/aisland-node,,3.00
ajuna,INCLUDED,single separable primary repo + dated delivery,https://github.com/ajuna-network/Ajuna.SDK,,2023-03-10,4,darkfriend77/SubstrateNetApi;JetonNetwork/SubstrateNetApi;JetonNetwork/Open-Grants-Program;dotmog/Schnorrkel;ajuna-network/Ajuna.SDK;ajuna-network/Open-Grants-Program,,4.00
AlgoCash,INCLUDED,single separable primary repo + dated delivery,https://github.com/ReserveLabs/AlgoCash,,2021-06-30,1,ReserveLabs/AlgoCash,w3f/General-Grants-Program;w3f/Open-Grants-Program,
anagolay-project-idiyanale-multi-token-community-contributions-for-verified-creators,INCLUDED,single separable primary repo + dated delivery,https://github.com/anagolay/anagolay-chain,3bfaa83146555ffe6e4203b4d21d80b73ae0a0d8,2023-02-03,2,anagolay/anagolay-chain;anagolay/anagolay-js-sdk,,
anagolay-project-idiyanale-phase,INCLUDED,single separable primary repo + dated delivery,https://github.com/anagolay/w3f-grant-support-repo,,2022-05-30,2,anagolay/w3f-grant-support-repo;anagolay/anagolay-chain,,
