category,group,project,ecosystem,period,hours,PM_152,retroactive,verification,source_url
A1_dev,Governance-harvest,Ideal Network (substrate network),Polkadot,retroactive,4380,28.82,Y,harvested-itemised,https://polkadot.subsquare.io/referenda/1798
A1_dev,Gold-measured,Subsquare gov app,Polkadot,completed,3760,24.7,Y,measured-repo,https://github.com/opensquare-network/subsquare
A1_dev,TrueBlocks,TrueBlocks v1.0.0 (EF grant FY22-0772),Ethereum,2022-08..2023-08,3840,24.0,Y,derived(2FTEx12mo),https://tjayrush.medium.com/trueblocks-final-report-for-ef-grant-d784653c830d
A1_dev,Gold-measured,Remarker NFT market,Polkadot,completed,1100,7.24,Y,measured-repo,https://github.com/Remarkers/Remarkers-market
A1_dev,Governance-harvest,DotBot,Polkadot,retroactive,1032,6.79,Y,harvested-itemised,https://polkadot.subsquare.io/referenda/1848
A1_dev,Gold-measured,Kheopswap DEX UI,Polkadot,completed,480,3.16,Y,measured-repo,https://github.com/kheopswap/kheopswap
A1_dev,Polkascan-Explorer,Polkascan Explorer/PolkADAPT — Ref-83 Subsquid integration,Kusama,2023-07,428,2.82,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/kusama/referendum-83-report-20230718.md
A1_dev,Gold-measured,ink! analyzer,Polkadot,completed,424,2.79,Y,measured-repo,https://github.com/ink-analyzer/ink-analyzer
A1_dev,Polkascan-Explorer,Polkascan Explorer/PolkADAPT — TP-164 open-source stack,Kusama,2022-09,346,2.28,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/kusama/treasury-proposal-164-report-20220912.md
A1_dev,Polkascan-Explorer,Polkascan Explorer/PolkADAPT — TP-214 Explorer improvements,Kusama,2023-01,326,2.14,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/kusama/treasury-proposal-214-report-20230110.md
A1_dev,Polkascan-Explorer,Polkascan Explorer/PolkADAPT — TP-57 r2,Kusama,2021-02,289,1.9,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/kusama/treasury-proposal-57-report-20210216.md
A1_dev,Polkascan-Explorer,Polkascan Explorer/PolkADAPT — TP-173 Calendar,Kusama,2022-09,240,1.58,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/kusama/treasury-proposal-173-report-20220912.md
A1_dev,Gold-measured,dotreasury,Kusama,completed,,0.95,Y,measured-repo,https://github.com/opensquare-network/dotreasury
A1_dev,Gold-measured,Dot Code School,Polkadot,completed,144,0.95,Y,measured-repo,https://github.com/iammasterbrucewayne/dotcodeschool
A1_dev,Polkascan-Explorer,Polkascan Explorer/PolkADAPT — TP-57 r1,Kusama,2021-01,139,0.91,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/kusama/treasury-proposal-57-report-20210111.md
A1_dev,Governance-harvest,Referendum Alert (Telegram bot),Kusama,retroactive,94,0.62,Y,harvested-itemised,https://kusama.subsquare.io/referenda/602
A1_dev,Governance-harvest,Gitorial VS Code extension,Polkadot,retroactive,83,0.55,Y,harvested-itemised,https://polkadot.subsquare.io/treasury/proposals/1583
A1_dev,Governance-harvest,Kitdot,Polkadot,retroactive,20,0.13,Y,harvested-itemised,https://polkadot.subsquare.io/referenda/1805
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-Q4,382,2.51,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2021Q4.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2023-Q1,202,1.33,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2023Q1.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2022-Q4,174,1.14,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2022Q4.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2023-Q2Q3,164,1.08,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-2023Q2-Q3.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-07,162,1.07,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202107.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-03,152,1.0,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202103.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2020-10,142,0.93,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202010.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-06,141,0.93,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202106.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2020-12,138,0.91,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202012.md
A2_maintenance_periodic,Polkascan-PyAPI,Polkascan py-substrate-interface maintenance,Polkadot,2021-01,139,0.91,Y,source-verified,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202101.md
