id,project,team,ecosystem,period,type,actual_effort_reported,hours,PM_152,retroactive,source_url,verified,notes
G1,Subsquare (gov app),OpenSquare,Polkadot,2024,dev,"3760 dev-hrs itemised",3760,24.7,Y,https://polkadot.subsquare.io/referenda/relevant,Y,already in our gold set
G2,dotreasury,OpenSquare,Kusama,2021,dev,"~20 dev-days",,0.95,Y,opensquare-network/dotreasury,Y,gold
G3,Remarker,Remarkers,Polkadot,2024,dev,"1100 work-hrs",1100,7.24,Y,Remarkers/Remarkers-market,Y,gold
G4,Kheopswap,kheopswap,Polkadot,2024,dev,"480 dev-hrs",480,3.16,Y,kheopswap/kheopswap,Y,gold
G5,ink! analyzer,David Semakula,Polkadot,2024,dev,"424 dev-hrs itemised",424,2.79,Y,ink-analyzer/ink-analyzer,Y,gold
G6,Dot Code School,iammasterbrucewayne,Polkadot,2023,dev,"144 dev-hrs",144,0.95,Y,iammasterbrucewayne/dotcodeschool,Y,gold
TB,TrueBlocks v1.0.0 (Go port),Thomas Jay Rush,Ethereum,Aug2022-Aug2023,dev,"2 FTE x 12 mo (derived, not itemised)",,24.0,Y,https://tjayrush.medium.com/trueblocks-final-report-for-ef-grant-d784653c830d,Y,EF grant FY22-0772 final report; effort DERIVED from team size+duration
PK01,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2020-10,maintenance,"142 h (Tech10+Comm46+Bugs49+Feat37)",142,0.93,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202010.md,Y,verified exact
PK02,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2020-11,maintenance,"136 h",136,0.89,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202011.md,Y,
PK03,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2020-12,maintenance,"138 h",138,0.91,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202012.md,Y,
PK04,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-01,maintenance,"139 h",139,0.91,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202101.md,Y,
PK05,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-02,maintenance,"130 h",130,0.86,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202102.md,Y,
PK06,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-03,maintenance,"140 h",140,0.92,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202103.md,Y,
PK07,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-04,maintenance,"128 h",128,0.84,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202104.md,Y,
PK08,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-05,maintenance,"132 h",132,0.87,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202105.md,Y,verified exact
PK09,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-06,maintenance,"141 h",141,0.93,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202106.md,Y,
PK10,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-07,maintenance,"162 h",162,1.07,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202107.md,Y,
PK11,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-08,maintenance,"136 h",136,0.89,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202108.md,Y,
PK12,Polkascan Substrate Python API,Polkascan Foundation,Polkadot,2021-09,maintenance,"139 h",139,0.91,Y,https://github.com/polkascan/social-contract/blob/master/polkadot/treasury-proposal-008-report-202109.md,Y,
